"","State","Year","BDPRP","BFFDB","CLPRB","CLPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NUETB","PAPRB","REPRB","SOTCB","WWPRB","WYTCB","CO2.Emissions..Mmt.","TotalNumberofInvestments","TotalAmountofAssistance"
"89","Iowa",2019,8143,637409,0,0,593169,104135,1281,7091,244222,0,54671,0,901961,1604,20330,234246,176.1079655,52,1593785
"90","Iowa",2020,8357,568865,0,0,523461,92137,1281,8994,312229,0,30333,0,900015,2072,18920,299881,154.3480351,49,8555854
"91","Kansas",2015,53,66484,4387,22.026,66196,11596,974,177,103733,318548,90254,260015,177374,87,7158,102495,64.51256023,120,2548830
"92","Kansas",2016,31,67755,617,23.051,67585,11854,974,282,131653,281646,86245,217116,205800,125,6391,130272,62.60936987,130,1440764
"93","Kansas",2017,27,69485,0,0,69338,12160,974,269,172818,257200,111367,205026,248533,231,6230,171344,59.03202784,110,1454281
"94","Kansas",2018,13,71581,0,0,71510,12526,974,241,173694,237402,95854,198084,253321,345,8046,172134,62.85277614,67,1041662
"95","Kansas",2019,598,76308,0,0,73059,12826,974,182,189733,212665,96565,189202,273764,471,7724,188105,60.4526702,43,992149
"96","Kansas",2020,1399,79874,0,0,72273,12721,974,284,212447,188961,110502,160828,299301,955,6980,210234,57.77715449,39,2802130
"97","Kentucky",2015,833,8246,1486019,24.189,3723,652,2712,31717,34627,108080,0,16362,75319,198,32445,0,131.3429697,129,315635700
"98","Kentucky",2016,1041,9693,1041121,24.279,4035,708,2712,32108,35186,102591,0,14849,76971,366,32092,0,126.8081795,76,2257870
"99","Kentucky",2017,1102,10054,1015108,24.281,4065,713,2712,41514,44707,101295,0,14176,89649,481,34889,0,116.7819997,99,1948714
"100","Kentucky",2018,1076,9844,955471,24.043,3997,700,2712,40220,43651,96085,0,12924,90231,719,36736,0,122.771335,77,2944583
"101","Kentucky",2019,1076,10658,852990,23.621,4810,844,2712,37682,41221,89339,0,14273,89293,827,37414,0,115.3817286,63,1092217
"102","Kentucky",2020,1259,12110,571089,23.582,5270,928,2712,43913,47519,81708,0,12890,90327,894,30698,0,101.8855794,89,11046095
"103","Louisiana",2015,0,0,46879,13.633,0,0,1842,9310,12672,1916410,160015,364396,132249,1521,119577,0,185.5592561,61,2312261
"104","Louisiana",2016,0,0,38499,13.761,0,0,1842,10183,13876,1893803,179391,328643,154742,1851,140865,0,189.1398596,98,1499474
"105","Louisiana",2017,0,0,27892,13.419,0,0,1842,8349,12149,2238355,161171,295015,142086,1958,129937,0,193.3738211,71,1216601
"106","Louisiana",2018,0,0,20436,13.778,0,0,1842,10741,14773,2942607,179330,274413,143245,2189,128472,0,194.74322,86,764829
"107","Louisiana",2019,0,0,21251,13.82,0,0,1842,12161,16254,3330380,145993,261527,133669,2251,117414,0,194.892652,67,250695185
"108","Louisiana",2020,0,0,9438,13.949,0,0,1842,10560,15097,3311767,176988,208905,131183,2695,116086,0,183.2984563,35,5171076
"109","Maine",2015,8,43,0,0,0,0,72,31317,43787,0,0,0,161418,323,117588,12075,66.74652168,34,4240538
"110","Maine",2016,11,60,0,0,0,0,72,27693,43575,0,0,0,141943,418,98309,15391,64.08973529,35,841616
"111","Maine",2017,10,55,0,0,0,0,72,31221,53363,0,0,0,148038,577,94619,21493,64.71316897,44,5852232
"112","Maine",2018,10,55,0,0,0,0,72,29689,52233,0,0,0,149435,765,97146,21707,64.10739497,46,3360964
"113","Maine",2019,9,47,0,0,0,0,72,31162,54339,0,0,0,148456,897,94070,22208,63.32557454,30,1860604
"114","Maine",2020,9,48,0,0,0,0,72,27707,49968,0,0,0,132947,1176,82932,21013,52.28060539,54,21021782
"115","Maryland",2015,0,0,45587,23.72,0,0,570,15127,24122,40,153140,0,47614,4375,23492,4050,62.28032684,100,1890491
"116","Maryland",2016,0,0,37859,23.431,0,0,570,12853,25123,36,154377,0,48237,6834,23115,4866,60.46760995,65,1349074
"117","Maryland",2017,0,0,42804,23.67,0,0,570,18108,33197,34,158004,0,55339,9348,22142,5172,55.040273,48,6343700
"118","Maryland",2018,0,0,30464,23.468,0,0,570,25772,42987,14,156699,0,65963,11456,22975,5189,61.68531518,61,2306029
"119","Maryland",2019,0,0,34661,23.562,0,0,570,19485,37802,14,156765,0,55557,13115,17755,4633,56.87149823,73,1428319
"120","Maryland",2020,0,0,27404,23.744,0,0,570,14886,33709,10,157471,0,47229,13467,13519,4787,48.09083955,38,1459180
"121","Massachusetts",2015,7,36,0,0,0,0,859,7709,23103,0,52236,0,62787,12535,39648,2000,16.67908857,74,2818563
"122","Massachusetts",2016,10,56,0,0,0,0,859,6578,26927,0,56628,0,65616,17495,38633,1995,16.15310799,41,795948
"123","Massachusetts",2017,20,110,0,0,0,0,859,9558,34093,0,52788,0,68467,21532,34264,2143,15.37643854,42,2223059
"124","Massachusetts",2018,20,110,0,0,0,0,859,10320,41368,0,46437,0,75295,28177,33816,2012,14.76307256,41,2491389
"125","Massachusetts",2019,17,94,0,0,0,0,859,8687,40935,0,22734,0,74190,29511,33161,1877,14.42640502,41,1093090
"126","Massachusetts",2020,18,96,0,0,0,0,859,7402,43346,0,0,0,73946,32995,30504,2090,13.5022626,49,1718854
"127","Michigan",2015,131,39033,0,0,38321,6713,5193,13971,64720,114061,306773,37504,223234,853,119481,44702,164.4556231,76,3049845
"128","Michigan",2016,239,40207,0,0,38907,6824,5193,14442,64076,108450,329999,32266,216674,1089,112392,43351,154.5188531,61,1293489
"129","Michigan",2017,234,47787,0,0,46518,8158,5193,15468,70181,102619,338675,31597,225919,1692,107951,47827,155.6806782,37,1287282
"130","Michigan",2018,310,50752,0,0,49068,8595,5193,14286,71467,95841,318655,31058,237163,2304,114945,49683,163.7174435,56,936266
"131","Michigan",2019,247,47973,0,0,46629,8186,5193,14691,74520,90423,343639,29493,233688,2758,111194,51878,159.2399805,65,2360732
"132","Michigan",2020,214,43096,0,0,41935,7381,5193,15031,82542,69854,316732,23885,225022,3230,99384,59087,136.7773589,59,3543100
"133","Minnesota",2015,1429,165989,0,0,158228,27718,1075,7912,100589,0,125900,0,345949,473,79370,91129,89.33099915,119,3292766
"134","Minnesota",2016,1762,168756,0,0,159184,27920,1075,11157,104583,0,144970,0,351303,645,77964,91706,91.10054342,92,16796366
"135","Minnesota",2017,1654,171550,0,0,162563,28509,1075,11587,121517,0,145426,0,363504,6247,70437,102608,91.27720044,74,2726558
"136","Minnesota",2018,1799,176402,0,0,166627,29187,1075,9591,118640,0,152657,0,366439,10437,71397,97537,94.75605009,154,55322766
"137","Minnesota",2019,1692,180685,0,0,171494,30107,1075,9404,120386,0,147280,0,366164,12265,65093,97642,92.08969013,140,29572563
"138","Minnesota",2020,1973,165730,0,0,155009,27284,1075,8789,129433,0,153260,0,351983,15774,56820,103795,78.38217962,168,29357835
"139","Mississippi",2015,349,5911,34528,10.984,4012,703,958,0,988,60476,122511,142485,60419,29,53521,0,124.7473311,619,7036095
"140","Mississippi",2016,1474,14736,32349,11.272,6731,1181,958,0,1031,50418,61680,116649,78133,73,62366,0,119.0157079,520,10631411
"141","Mississippi",2017,1239,13572,32019,12.298,6839,1199,958,0,1861,39719,77027,101772,71032,903,55599,0,124.5052275,316,4957942
"142","Mississippi",2018,1548,15206,31979,10.878,6798,1191,958,0,4039,36499,72343,96734,76639,3080,57394,0,124.7805316,185,3637928
"143","Mississippi",2019,1070,5811,28423,10.537,0,0,958,0,3966,34280,115202,96171,66401,3007,56625,0,116.985714,177,3478408
"144","Mississippi",2020,598,3249,26576,10.272,0,0,958,0,4877,28956,67569,80619,64336,3919,56210,0,108.7023978,131,4677028
"145","Missouri",2015,3237,54724,3178,22.992,37139,6506,352,14864,26386,1,109182,852,105635,1542,24526,9627,61.29692129,403,3710526
"146","Missouri",2016,3872,58928,5125,21.912,37892,6646,352,11711,24297,1,98630,704,105876,1876,22652,10357,62.31469737,608,96309030
"147","Missouri",2017,4066,61025,5321,21.776,38934,6828,352,10886,32395,1,86853,664,116838,2433,23417,18724,60.46289527,379,2686540
"148","Missouri",2018,5056,66502,5654,21.837,39032,6837,352,7542,36681,1,111401,548,131345,2980,28161,25807,63.23252555,469,3767073
"149","Missouri",2019,4719,63218,4227,22.335,37578,6597,352,19733,49069,1,95961,484,140354,3534,28066,25450,62.54458802,269,2609443
"150","Missouri",2020,5536,64724,3432,21.62,34647,6098,352,16488,50264,1,80843,353,140007,4077,25019,29347,63.13899977,116,2102663
"151","Montana",2015,0,0,746222,17.825,0,0,337,92144,110876,55943,0,163249,125018,85,14143,18309,32.53164542,94,896759
"152","Montana",2016,1,3,572787,17.714,0,0,337,93082,113287,52130,0,132625,128095,110,14805,19758,31.13795175,90,2257495
"153","Montana",2017,0,2,624772,17.733,0,0,337,100850,121314,50821,0,118586,136249,275,14933,19852,31.25081171,93,1091494
"154","Montana",2018,0,1,684031,17.716,0,0,337,103828,124266,47712,0,123027,143018,497,18751,19604,31.25796736,114,2449554
"155","Montana",2019,0,1,608890,17.666,0,0,337,89090,111051,47967,0,130946,129217,489,18165,21135,32.28539515,61,618074
"156","Montana",2020,0,0,469076,17.754,0,0,337,94288,122051,42367,0,108044,137944,593,15893,26833,26.22561517,32,542585
"157","Nebraska",2015,23,266404,0,0,266278,46646,1212,15702,46594,504,107976,15419,317158,41,4161,29639,124.7782841,232,202376181
"158","Nebraska",2016,638,282138,0,0,278674,48878,1212,7906,44275,557,97798,12560,330919,90,4506,35067,124.895788,156,190472938
"159","Nebraska",2017,1159,290063,0,0,283769,49765,1212,13719,61990,483,72300,11978,355970,220,3917,46840,121.1493749,149,235434075
"160","Nebraska",2018,1089,289782,0,0,283866,49723,1212,12582,64686,459,58884,11732,359674,373,5205,50519,124.2127343,132,141776088
"161","Nebraska",2019,581,288633,0,0,285474,50117,1212,11935,77807,411,72589,10883,371935,446,5495,64215,122.6043034,115,126884709
"162","Nebraska",2020,0,243518,0,0,243518,42863,1212,12195,94055,375,64621,9527,342292,679,4719,79969,106.5337712,85,176369306
"163","Nevada",2015,0,0,0,0,0,0,30535,21099,72737,4,0,1606,75369,18216,2632,2886,57.9230603,16,420940
"164","Nevada",2016,0,0,0,0,0,0,32506,16518,85523,3,0,1585,88587,33324,3064,3175,54.93206111,24,502584
"165","Nevada",2017,0,0,0,0,0,0,31876,16700,94965,3,0,1637,98128,43060,3163,3329,56.92163503,19,477713
"166","Nevada",2018,0,0,0,0,0,0,33066,17127,101584,3,0,1455,105656,48548,4072,2844,59.282972,30,520857
"167","Nevada",2019,0,0,0,0,0,0,36359,19966,109226,5,0,1527,113331,49969,4105,2933,57.15288871,18,759349
"168","Nevada",2020,0,0,0,0,0,0,34893,16874,111902,12,0,1115,115274,57286,3372,2849,54.25128029,18,686913
"169","New Hampshire",2015,48,262,0,0,0,0,29,11837,16105,0,99186,0,61342,292,44976,3947,50.71057586,247,3396859
"170","New Hampshire",2016,73,399,0,0,0,0,29,10574,15141,0,112551,0,56290,547,40750,3991,48.35090988,199,4011050
"171","New Hampshire",2017,45,245,0,0,0,0,29,13022,17718,0,104493,0,59871,875,41908,3792,47.87762064,263,3743400
"172","New Hampshire",2018,51,276,0,0,0,0,29,12336,17123,0,105195,0,56145,1056,38747,3702,52.35500953,271,4330170
"173","New Hampshire",2019,57,312,0,0,0,0,29,13019,18137,0,113890,0,56018,1229,37569,3859,50.47008377,206,2293019
"174","New Hampshire",2020,59,318,0,0,0,0,29,10776,16893,0,103012,0,45710,1484,28499,4605,46.50927263,93,9134015
"175","New Jersey",2015,219,1191,0,0,0,0,466,89,21721,0,347851,0,45205,20966,22292,201,15.27856723,46,1371086
"176","New Jersey",2016,229,1246,0,0,0,0,466,88,23007,0,312569,0,46546,22261,22293,192,13.81151032,40,3111505
"177","New Jersey",2017,35,191,0,0,0,0,466,126,26428,0,355948,0,45602,25630,18982,207,13.51181074,39,1307930
"178","New Jersey",2018,0,0,0,0,0,0,466,324,29225,0,334373,0,48517,28230,19291,206,14.23973227,37,636384
"179","New Jersey",2019,0,0,0,0,0,0,466,236,32602,0,278147,0,49363,31705,16761,196,13.9338009,26,739179
"180","New Jersey",2020,0,0,0,0,0,0,466,135,36005,0,279201,0,51878,35229,15872,176,12.44720564,33,996776
"181","New Mexico",2015,0,0,357525,18.168,0,0,458,927,28119,1436329,0,846659,38811,7257,10692,19477,103.6600002,47,1130951
"182","New Mexico",2016,0,0,246549,18.48,0,0,499,1366,43741,1422598,0,839040,54822,8591,11080,33285,105.6200444,34,597439
"183","New Mexico",2017,0,0,257710,18.616,0,0,487,1780,57673,1506770,0,986514,67408,13076,9735,42330,99.35210038,48,881961
"184","New Mexico",2018,0,0,200179,18.549,0,0,487,1361,72070,1734539,0,1421610,85241,14764,13171,55457,105.0688845,20,852979
"185","New Mexico",2019,0,0,268307,18.459,0,0,885,1409,78715,2068295,0,1891645,94063,15047,15348,61374,100.8319854,17,314035
"186","New Mexico",2020,0,0,191349,18.67,0,0,835,1778,84743,2277937,0,2107958,96447,18752,11704,63378,83.82379422,10,428543
"187","New York",2015,2,19793,0,0,19780,3465,1185,242429,288404,17879,466457,1635,409139,7729,100942,37061,50.69183199,50,1126396
"188","New York",2016,0,21669,0,0,21669,3801,1185,248232,296467,13942,434791,1287,412994,10674,94858,36376,48.84541366,28,2015514
"189","New York",2017,0,21022,0,0,21022,3687,1185,277725,330933,11760,441029,1105,447680,13919,95725,38105,49.62030346,47,5893114
"190","New York",2018,0,18885,0,0,18885,3308,1185,269752,325023,10994,448718,1261,442993,17686,99086,36401,45.85390881,22,755535
"191","New York",2019,0,20042,0,0,20042,3519,1185,272679,336052,11313,468481,1561,452190,22509,96096,39680,48.94208108,12,1493382
"192","New York",2020,0,9962,0,0,9962,1753,1185,259241,328916,10012,401287,1565,426161,28821,87283,39669,45.21355901,19,48503359
"193","North Carolina",2015,47,256,0,0,0,0,967,44191,59028,0,440248,0,170008,13870,110724,0,38.5171354,16,790588
"194","North Carolina",2016,78,425,0,0,0,0,967,40779,75202,0,447500,0,199520,33397,123894,58,39.97099675,16,54082
"195","North Carolina",2017,41,222,0,0,0,0,967,35175,89578,0,443192,0,215578,49099,125778,4337,40.20696595,33,311016629
"196","North Carolina",2018,37,199,0,0,0,0,967,60136,123878,0,439915,0,248825,57834,124748,4941,41.38306985,57,535889
"197","North Carolina",2019,35,188,0,0,0,0,967,55084,129772,0,437683,0,254022,69062,124061,4659,41.74259297,22,201782
"198","North Carolina",2020,29,159,0,0,0,0,967,69811,151586,0,441997,0,281143,76016,129397,4792,36.20523107,4,53672
"199","North Dakota",2015,1573,57786,392183,13.617,49241,8626,978,19516,81127,678977,0,2456200,141748,7,2835,60627,174.3599244,104,5040800
"200","North Dakota",2016,1703,65607,399856,14.219,56353,9884,978,17652,94079,766865,0,2161886,162635,7,2949,75443,170.1509065,73,2403723
"201","North Dakota",2017,1912,79984,394022,13.687,69595,12205,978,23789,129426,857330,0,2235455,212086,7,2676,104653,165.8301752,52,789556
"202","North Dakota",2018,1796,79645,399835,13.488,69889,12242,978,28952,127650,993022,0,2627271,209189,8,1894,97712,175.0969653,60,13144827
"203","North Dakota",2019,1789,80390,361946,13.407,70672,12407,978,28312,129152,1187235,0,2949752,211395,11,1853,99852,168.9712856,69,30602444
"204","North Dakota",2020,1982,80535,364262,13.778,69767,12280,978,21497,142096,1211327,0,2474953,224409,12,1779,119610,143.3766729,78,39346669
"205","Ohio",2015,1273,84018,417682,24.51,77105,13507,3435,4256,20579,1171552,181726,152650,164904,1678,60307,11211,211.1966253,175,2513363
"206","Ohio",2016,1597,88369,309088,24.601,79695,13978,3435,4619,21425,1647241,175893,123595,166682,1874,56888,11497,205.3227286,132,775584
"207","Ohio",2017,1678,92214,233560,24.614,83098,14573,3435,2555,23060,2009410,184997,114517,167037,2435,51762,14635,205.0608887,118,10274821
"208","Ohio",2018,1647,95328,219942,24.458,86382,15131,3435,2222,24344,2652291,191483,129954,172901,2755,53229,15932,208.9666748,52,6168918
